56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
930
# a b m n r rhoa k err
13 25 17 21 35.7044684 1530.3579471656906 42.86180457921873 0.05
13 28 18 23 25.6979151 1339.9540865230272 52.14252134108059 0.05
13 31 19 25 18.8557761 1157.5751418104016 61.39101014306176 0.05
13 34 20 27 14.3902894 1013.6099038924083 70.4370757055385 0.05
13 37 21 29 11.584584 908.3537584120457 78.41056341876806 0.05
13 40 22 31 9.3371193 825.4758790420088 88.40798243222713 0.05
13 43 23 33 8.03928765 823.3624529621309 102.41733954651204 0.05
13 46 24 35 7.21606486 827.4978445609702 114.67439118347534 0.05
13 49 25 37 6.74418542 869.1369411694154 128.87204117964708 0.05
13 52 26 39 6.41492048 892.4199434690242 139.11629088019876 0.05
13 55 27 41 6.04877266 891.5466419218415 147.39298235120668 0.05
14 17 15 16 219.088933 2354.018887293105 10.74458145858561 0.05
14 20 16 18 93.284138 2029.9671472477157 21.761118136158537 0.05
14 23 17 20 49.9268973 1607.2977934465102 32.19302380816102 0.05
14 26 18 22 31.168284 1303.6240454926642 41.825339036716436 0.05
14 29 19 24 21.1014271 1087.0411498919675 51.51505368525372 0.05
14 32 20 26 16.463986 1013.4692266912132 61.55673520927516 0.05
14 35 21 28 13.4192321 932.0458275284452 69.45597338080509 0.05
14 38 22 30 10.0412505 785.3606140221012 78.21342710473175 0.05
14 41 23 32 8.38114379 745.4735323732447 88.94651506429348 0.05
14 44 24 34 7.59673667 794.3834159684468 104.56903410980635 0.05
14 47 25 36 6.56509746 758.9611544749142 115.60546649903263 0.05
14 50 26 38 6.63725049 860.965470293501 129.7171881023133 0.05
14 53 27 40 6.19849935 865.8923691312265 139.693871086915 0.05
14 56 28 42 5.85252225 845.7933555821096 144.51775139891345 0.05
15 18 16 17 270.920732 2733.8655883567726 10.091016542642343 0.05
15 21 17 19 89.751664 1945.0496979183145 21.671461132111315 0.05
15 24 18 21 47.4924641 1476.5798363115978 31.090823866340465 0.05
15 27 19 23 28.0336903 1153.711596780102 41.15446751511348 0.05
15 30 20 25 20.2879413 1039.5544401730722 51.24001616532044 0.05
15 33 21 27 15.0817979 920.6329028187937 61.04264948536366 0.05
15 36 22 29 11.9438869 822.2800110472957 68.8452610052173 0.05
15 39 23 31 8.8019016 693.8563201064151 78.83027459730009 0.05
15 42 24 33 7.96654771 725.8069225779309 91.10683184221222 0.05
15 45 25 35 6.69939614 708.523057041277 105.75924191299978 0.05
15 48 26 37 6.77329054 797.850651713904 117.793655388346 0.05
15 51 27 39 6.35995499 824.7489596613598 129.6784271206548 0.05
15 54 28 41 5.98420569 830.972916460673 138.86102174751167 0.05
16 19 17 18 226.196914 2496.594371994098 11.037260976929588 0.05
16 22 18 20 94.6856794 1960.8838414519796 20.709402455340882 0.05
16 25 19 22 43.3554052 1361.0489141427483 31.392831132916 0.05
16 28 20 24 25.7564739 1073.5304652467282 41.680024580023286 0.05
16 31 21 26 19.7078286 1015.1342782013515 51.50918951067758 0.05
16 34 22 28 14.2180774 854.5165255888272 60.1007085239828 0.05
16 37 23 30 10.4737236 723.9584659595517 69.1214026270038 0.05
16 40 24 32 8.65900582 684.1244250068314 79.00727164620746 0.05
16 43 25 34 7.20951703 683.0968324974208 94.74931949740062 0.05
16 46 26 36 6.72429363 716.6704568590077 106.57929238271645 0.05
16 49 27 38 6.74501321 810.8165189665027 120.20977479546 0.05
16 52 28 40 6.32087089 824.060670119595 130.3713814853122 0.05
16 55 29 42 6.08749119 827.3002926651772 135.90168212878797 0.05
17 20 18 19 293.921743 3062.3581446442513 10.418957486395456 0.05
17 23 19 21 89.3328315 1846.9514399917641 20.674945694425507 0.05
17 26 20 23 47.6517733 1485.2210467993182 31.168221955746567 0.05
17 29 21 25 28.4185156 1181.8673608389463 41.5879343409107 0.05
17 32 22 27 19.3103527 989.9511758045701 51.26530784725492 0.05
17 35 23 29 13.5200304 812.6018414600783 60.10355135444653 0.05
17 38 24 31 10.0587956 696.9330636767355 69.28593555243687 0.05
17 41 25 33 7.93446816 637.9871131669908 80.40704182080816 0.05
