56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
930
# a b m n r rhoa k
10 13 11 12 210.275122 2243.384990197115 10.668808410902335
10 16 12 14 84.2078264 1712.0940205474571 20.33176836099236
10 19 13 16 60.8827571 1908.857230760194 31.353002421110688
10 22 14 18 43.7027086 1893.1502054184016 43.31883002369335
10 25 15 20 29.2509703 1546.8518586899613 52.88206999034016
10 28 16 22 22.1571623 1389.2258258403574 62.69872500055467
10 31 17 24 17.4108525 1241.6319310442655 71.31367812370276
10 34 18 26 13.4947733 1064.9161767087435 78.91323203693563
10 37 19 28 10.5610221 921.1494626144523 87.2216205867472
10 40 20 30 9.1146792 893.0047249370326 97.97434504738605
10 43 21 32 8.07099482 898.2309683832167 111.29123341244032
10 46 22 34 6.9817795 857.7012265750087 122.84851255686443
10 49 23 36 6.78679144 933.9306733715898 137.61004469169157
10 52 24 38 6.14945343 909.0503502373053 147.82620286260226
10 55 25 40 5.87815853 908.8495414304967 154.61467001817942
11 14 12 13 297.259981 3081.5342775004924 10.36646193387361
11 17 13 15 103.081959 2148.1242039425897 20.838992824560016
11 20 14 17 69.7287093 2294.2527594221087 32.902555955128065
11 23 15 19 44.0953227 1894.0633068663574 42.95383707139437
11 26 16 21 28.6854995 1528.109946632212 53.27116394233303
11 29 17 23 21.7104337 1341.1557598427548 61.774710647201616
11 32 18 25 15.9659609 1135.6786246571446 71.13124175677673
11 35 19 27 13.133796 1031.9916609424106 78.57527716605394
11 38 20 29 10.3416026 910.5035131468278 88.04278682559585
11 41 21 31 8.92579072 887.2319460859835 99.40093532531127
11 44 22 33 7.65161166 868.1039838150746 113.45374313142736
11 47 23 35 7.02376431 881.7051597652131 125.53171217745675
11 50 24 37 6.58313649 911.985899916818 138.5336459759196
11 53 25 39 6.26902931 928.0606959610288 148.03897861518035
12 15 13 14 185.633897 1949.298183960811 10.500766376524494
12 18 14 16 108.124021 2295.9058837750194 21.234003901640133
12 21 15 18 60.0358011 1961.882532537665 32.67854341228512
12 24 16 20 35.7044684 1530.3579471656983 42.86180457921895
12 27 17 22 25.6979151 1339.9540865230406 52.142521341081114
12 30 18 24 18.8557761 1157.5751418104112 61.391010143062275
12 33 19 26 14.3902894 1013.6099038924159 70.43707570553903
12 36 20 28 11.584584 908.3537584120527 78.41056341876866
12 39 21 30 9.3371193 825.4758790420243 88.40798243222879
12 42 22 32 8.03928765 823.3624529621466 102.41733954651399
12 45 23 34 7.21606486 827.4978445609889 114.67439118347794
12 48 24 36 6.74418542 869.1369411694294 128.87204117964916
12 51 25 38 6.41492048 892.4199434690412 139.1162908802014
12 54 26 40 6.04877266 891.5466419218525 147.3929823512085
13 16 14 15 219.088933 2354.018887293102 10.744581458585596
13 19 15 17 93.284138 2029.967147247719 21.761118136158572
13 22 16 19 49.9268973 1607.2977934465107 32.19302380816103
13 25 17 21 31.168284 1303.6240454926744 41.82533903671676
13 28 18 23 21.1014271 1087.041149891976 51.51505368525411
13 31 19 25 16.463986 1013.4692266912186 61.55673520927549
13 34 20 27 13.4192321 932.04582752845 69.45597338080545
13 37 21 29 10.0412505 785.3606140221112 78.21342710473274
13 40 22 31 8.38114379 745.4735323732568 88.94651506429493
13 43 23 33 7.59673667 794.3834159684624 104.56903410980841
13 46 24 35 6.56509746 758.961154474928 115.60546649903473
13 49 25 37 6.63725049 860.9654702935153 129.71718810231545
13 52 26 39 6.19849935 865.89236913124 139.6938710869172
13 55 27 41 5.85252225 845.7933555821188 144.51775139891504
14 17 15 16 270.920732 2733.865588356774 10.091016542642349
14 20 16 18 89.751664 1945.0496979183056 21.671461132111215
14 23 17 20 47.4924641 1476.579836311604 31.090823866340596
14 26 18 22 28.0336903 1153.711596780108 41.1544675151137
14 29 19 24 20.2879413 1039.5544401730751 51.24001616532059
14 32 20 26 15.0817979 920.6329028187952 61.042649485363754
14 35 21 28 11.9438869 822.2800110473012 68.84526100521775
