56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
903
# a b m n r rhoa k err
12 21 15 18 69.7287093 2294.252759422075 32.90255595512758 0.01
12 24 16 20 44.0953227 1894.0633068663312 42.95383707139377 0.01
12 27 17 22 28.6854995 1528.109946632192 53.27116394233233 0.01
12 30 18 24 21.7104337 1341.1557598427235 61.77471064720017 0.01
12 33 19 26 15.9659609 1135.6786246571126 71.13124175677473 0.01
12 36 20 28 13.133796 1031.9916609423753 78.57527716605126 0.01
12 39 21 30 10.3416026 910.5035131467966 88.04278682559284 0.01
12 42 22 32 8.92579072 887.2319460859541 99.40093532530797 0.01
12 45 23 34 7.65161166 868.1039838150407 113.45374313142294 0.01
12 48 24 36 7.02376431 881.7051597651744 125.53171217745124 0.01
12 51 25 38 6.58313649 911.9858999167794 138.53364597591374 0.01
12 54 26 40 6.26902931 928.0606959609865 148.03897861517362 0.01
13 16 14 15 185.633897 1949.2981839608042 10.500766376524457 0.01
13 19 15 17 108.124021 2295.905883774995 21.234003901639905 0.01
13 22 16 19 60.0358011 1961.8825325376363 32.67854341228465 0.01
13 25 17 21 35.7044684 1530.3579471656842 42.86180457921855 0.01
13 28 18 23 25.6979151 1339.954086523015 52.14252134108011 0.01
13 31 19 25 18.8557761 1157.5751418103816 61.391010143060704 0.01
13 34 20 27 14.3902894 1013.6099038923848 70.43707570553687 0.01
13 37 21 29 11.584584 908.3537584120243 78.4105634187662 0.01
13 40 22 31 9.3371193 825.4758790419957 88.40798243222572 0.01
13 43 23 33 8.03928765 823.3624529621184 102.41733954651049 0.01
13 46 24 35 7.21606486 827.4978445609528 114.67439118347292 0.01
13 49 25 37 6.74418542 869.1369411693928 128.87204117964373 0.01
13 52 26 39 6.41492048 892.4199434690016 139.11629088019524 0.01
13 55 27 41 6.04877266 891.5466419218118 147.39298235120177 0.01
14 17 15 16 219.088933 2354.0188872931003 10.74458145858559 0.01
14 20 16 18 93.284138 2029.9671472476987 21.761118136158355 0.01
14 23 17 20 49.9268973 1607.2977934465039 32.193023808160895 0.01
14 26 18 22 31.168284 1303.6240454926635 41.825339036716414 0.01
14 29 19 24 21.1014271 1087.0411498919573 51.51505368525323 0.01
14 32 20 26 16.463986 1013.4692266911954 61.55673520927408 0.01
14 35 21 28 13.4192321 932.0458275284243 69.45597338080353 0.01
