observation_index,A,B,M,N,value,dV,I,rel_err,K,fid,reciprocal_group,reciprocal_pair_count,reciprocal_error_percent,reciprocal_mean_value,reciprocal_partner_value
66,6,27,13,20,18.7832753,,,0.05,1.0,66,6-27|13-20,1,0.377293830269735,18.74790795,18.7125406
67,6,30,14,22,16.4028507,,,0.05,1.0,67,6-30|14-22,1,0.037158371483559764,16.399803749999997,16.3967568
68,6,33,15,24,14.4745877,,,0.05,1.0,68,6-33|15-24,1,0.11075806550980695,14.46657625,14.4585648
69,6,36,16,26,12.4429762,,,0.05,1.0,69,6-36|16-26,1,0.1265230603320514,12.4508528,12.4587294
70,6,39,17,28,10.2747206,,,0.05,1.0,70,6-39|17-28,1,0.32796382924204853,10.2578995,10.2410784
71,6,42,18,30,8.801843,,,0.05,1.0,71,6-42|18-30,1,0.08777467577848892,8.797981799999999,8.7941206
72,6,45,19,32,7.64345597,,,0.05,1.0,72,6-45|19-32,1,0.0807215844591933,7.646542175,7.64962838
73,6,48,20,34,6.84183896,,,0.05,1.0,73,6-48|20-34,1,0.1591129797176722,6.83640016,6.83096136
74,6,51,21,36,6.26614005,,,0.05,1.0,74,6-51|21-36,1,0.3155907134424159,6.276043355,6.28594666
75,7,10,8,9,369.234233,,,0.05,1.0,75,7-10|8-9,1,0.021551204449788447,369.2740245,369.313816
76,7,13,9,11,120.558615,,,0.05,1.0,76,7-13|9-11,1,0.20977512456553304,120.4322965,120.305978
77,7,16,10,13,79.9538517,,,0.05,1.0,77,7-16|10-13,1,0.048813123393865995,79.97337045,79.9928892
78,7,19,11,15,42.0470353,,,0.05,1.0,78,7-19|11-15,1,0.10448308299800346,42.02508075,42.0031262
79,7,22,12,17,27.5793858,,,0.05,1.0,79,7-22|12-17,1,0.5432983812091864,27.65450905,27.7296323
80,7,25,13,19,22.039913,,,0.05,1.0,80,7-25|13-19,1,0.38062012637165593,21.9980485,21.956184
81,7,28,14,21,18.2802645,,,0.05,1.0,81,7-28|14-21,1,0.1486958475593336,18.2666836,18.2531027
82,7,31,15,23,16.5851888,,,0.05,1.0,82,7-31|15-23,1,0.2811584574727265,16.561906200000003,16.5386236
83,7,34,16,25,13.8189194,,,0.05,1.0,83,7-34|16-25,1,0.18891010058500854,13.805879050000001,13.7928387
84,7,37,17,27,11.483726,,,0.05,1.0,84,7-37|17-27,1,0.3074008787755054,11.46610255,11.4484791
85,7,40,18,29,9.50126385,,,0.05,1.0,85,7-40|18-29,1,0.5240860960709105,9.47643152,9.45159919
86,7,43,19,31,8.11141605,,,0.05,1.0,86,7-43|19-31,1,0.2126502991190767,8.102800735,8.09418542
87,7,46,20,33,7.26403795,,,0.05,1.0,87,7-46|20-33,1,0.4319889689806953,7.248381845,7.23272574
88,7,49,21,35,6.59030368,,,0.05,1.0,88,7-49|21-35,1,0.09402179138298358,6.587206975,6.58411027
89,7,52,22,37,6.26490536,,,0.05,1.0,89,7-52|22-37,1,0.18749463735454464,6.2590376800000005,6.25317
90,8,11,9,10,255.933677,,,0.05,1.0,90,8-11|9-10,1,0.06134707523026545,256.012205,256.090733
91,8,14,10,12,147.050961,,,0.05,1.0,91,8-14|10-12,1,0.020044720340323934,147.0362245,147.021488
92,8,17,11,14,66.2938411,,,0.05,1.0,92,8-17|11-14,1,0.13497298037326,66.3386107,66.3833803
93,8,20,12,16,34.6261578,,,0.05,1.0,93,8-20|12-16,1,0.01679882754737128,34.623249650000005,34.6203415
94,8,23,13,18,28.0333039,,,0.05,1.0,94,8-23|13-18,1,0.5331320940586171,28.108230900000002,28.1831579
95,8,26,14,20,22.3414795,,,0.05,1.0,95,8-26|14-20,1,0.045239229983149,22.3465342,22.3515889
96,8,29,15,22,18.9179213,,,0.05,1.0,96,8-29|15-22,1,0.09548046467857191,18.908894150000002,18.899867
97,8,32,16,24,15.6468317,,,0.05,1.0,97,8-32|16-24,1,0.07678302457019104,15.640826950000001,15.6348222
98,8,35,17,26,13.1302053,,,0.05,1.0,98,8-35|17-26,1,0.3349110973949024,13.108254800000001,13.0863043
99,8,38,18,28,10.6910323,,,0.05,1.0,99,8-38|18-28,1,0.20546948722892133,10.702027000000001,10.7130217
100,8,41,19,30,8.79424753,,,0.05,1.0,100,8-41|19-30,1,0.1758573027861813,8.78652166,8.77879579
101,8,44,20,32,7.83673825,,,0.05,1.0,101,8-44|20-32,1,0.22704645423397915,7.827851819999999,7.81896539
102,8,47,21,34,7.06224407,,,0.05,1.0,102,8-47|21-34,1,0.0468222837271893,7.060591105,7.05893814
103,8,50,22,36,6.40728563,,,0.05,1.0,103,8-50|22-36,1,0.012927214133460945,6.406871515,6.4064574
104,8,53,23,38,6.10974394,,,0.05,1.0,104,8-53|23-38,1,0.00407324650425353,6.109868375,6.10999281
105,9,12,10,11,340.102379,,,0.05,1.0,105,9-12|10-11,1,0.0015845103234064233,340.1050735,340.107768
106,9,15,11,13,130.543917,,,0.05,1.0,106,9-15|11-13,1,0.11425362443652283,130.469384,130.394851
107,9,18,12,15,50.132182,,,0.05,1.0,107,9-18|12-15,1,0.1579554444008722,50.17180655,50.2114311
108,9,21,13,17,39.9603907,,,0.05,1.0,108,9-21|13-17,1,0.19002862537366272,39.998394899999994,40.0363991
109,9,24,14,19,30.4955288,,,0.05,1.0,109,9-24|14-19,1,0.09437932906249842,30.48114485,30.4667609
110,9,27,15,21,23.8028126,,,0.05,1.0,110,9-27|15-21,1,0.5746023496413024,23.73462275,23.6664329
111,9,30,16,23,19.3073639,,,0.05,1.0,111,9-30|16-23,1,0.1454481711376655,19.293332999999997,19.2793021
112,9,33,17,25,15.2716203,,,0.05,1.0,112,9-33|17-25,1,0.4335546476046202,15.2385865,15.2055527
113,9,36,18,27,12.6651792,,,0.05,1.0,113,9-36|18-27,1,1.3952406016728522,12.57743645,12.4896937
114,9,39,19,29,9.77817757,,,0.05,1.0,114,9-39|19-29,1,0.3244809431356023,9.762339105,9.74650064
115,9,42,20,31,8.47203396,,,0.05,1.0,115,9-42|20-31,1,0.2739131926840622,8.46044682,8.44885968
116,9,45,21,33,7.68373841,,,0.05,1.0,116,9-45|21-33,1,0.5578928004328357,7.662364520000001,7.64099063
117,9,48,22,35,6.81944288,,,0.05,1.0,117,9-48|22-35,1,0.2877711043484417,6.809644785,6.79984669
118,9,51,23,37,6.35174647,,,0.05,1.0,118,9-51|23-37,1,0.030905410097037456,6.350765105000001,6.34978374
119,9,54,24,39,6.07254561,,,0.05,1.0,119,9-54|24-39,1,0.4175401166419445,6.059894365,6.04724312
120,10,13,11,12,373.439533,,,0.05,1.0,120,10-13|11-12,1,0.10865278409515094,373.6425195,373.845506
121,10,16,12,14,82.1191941,,,0.05,1.0,121,10-16|12-14,1,0.025854558383638388,82.12981125,82.1404284
122,10,19,13,16,51.3436579,,,0.05,1.0,122,10-19|13-16,1,0.02583223208708669,51.33702715,51.3303964
123,10,22,14,18,39.6438135,,,0.05,1.0,123,10-22|14-18,1,0.13661269250526412,39.67091125,39.698009
124,10,25,15,20,29.9059152,,,0.05,1.0,124,10-25|15-20,1,0.09711187459674467,29.89140115,29.8768871
125,10,28,16,22,22.3368285,,,0.05,1.0,125,10-28|16-22,1,0.3838447190457221,22.29404125,22.251254
126,10,31,17,24,17.7876542,,,0.05,1.0,126,10-31|17-24,1,0.6472878975272208,17.73027125,17.6728883
127,10,34,18,26,14.2277314,,,0.05,1.0,127,10-34|18-26,1,0.8534342788182288,14.167277200000001,14.106823
128,10,37,19,28,11.2307027,,,0.05,1.0,128,10-37|19-28,1,0.005112900719371929,11.2304156,11.2301285
129,10,40,20,30,9.23380864,,,0.05,1.0,129,10-40|20-30,1,0.3287250109502796,9.218656625,9.20350461
