x,z
7.284683373724028,-13.508821030375284
7.442796629787797,-13.526311979238384
7.600909885851567,-13.54512584190271
7.759023141915336,-13.565198327356962
7.917136397979106,-13.586464189076802
8.075249654042874,-13.608858115159633
8.233362910106642,-13.63231559935091
8.391476166170413,-13.656773691348729
8.549589422234181,-13.682170927588196
8.707702678297952,-13.708447412824205
8.86581593436172,-13.735545175078194
9.023929190425488,-13.763408478689245
9.182042446489259,-13.791984092923766
9.340155702553027,-13.821221516143721
9.498268958616798,-13.851073155533406
9.656382214680566,-13.881494462384797
9.814495470744333,-13.912444022941425
9.972608726808105,-13.943883604800849
10.130721982871872,-13.97577815887564
10.288835238935643,-14.00809577691296
10.446948494999411,-14.040807604572649
10.605061751063179,-14.073887710063929
10.76317500712695,-14.107312908340607
10.921288263190718,-14.141062540854858
11.079401519254489,-14.17511821086957
11.237514775318257,-14.209463474329231
11.395628031382024,-14.244083492772024
11.553741287445796,-14.278967178036849
11.711854543509563,-14.314112241593747
11.869967799573331,-14.34952256371893
12.028081055637102,-14.385204393764617
12.18619431170087,-14.421162750949552
12.344307567764641,-14.457398065037397
12.502420823828409,-14.493904114524554
12.660534079892177,-14.53066663416842
12.818647335955948,-14.56766131985033
12.976760592019716,-14.604852029954294
13.134873848083487,-14.64218923170785
13.292987104147254,-14.679608692485003
13.451100360211026,-14.717030416071264
13.609213616274793,-14.75435782389079
13.767326872338561,-14.791477181195607
13.925440128402332,-14.82825726821694
14.0835533844661,-14.86454929627864
14.241666640529871,-14.900187068872704
14.399779896593639,-14.93498738769689
14.557893152657407,-14.96875070365442
14.716006408721178,-15.001262012815815
14.874119664784946,-15.032291997342773
15.032232920848717,-15.061598411374186
15.190346176912485,-15.08892771187423
15.348459432976252,-15.114016934442567
15.506572689040024,-15.136592653096775
15.664685945103791,-15.156355093595199
15.822799201167562,-15.172981375193142
15.98091245723133,-15.186138392258004
16.139025713295098,-15.19549522364561
16.29713896935887,-15.200735041673727
16.455252225422637,-15.201563019312573
16.613365481486408,-15.197707380789502
16.771478737550176,-15.18892477365107
16.929591993613943,-15.175005895481714
17.087705249677715,-15.155780384215022
17.245818505741482,-15.131120972037566
17.403931761805254,-15.100946902885399
17.56204501786902,-15.065226613533092
17.72015827393279,-15.023979678275404
17.87827152999656,-14.977278017201549
18.036384786060328,-14.92524636806203
18.1944980421241,-14.868062021728118
18.352611298187867,-14.805953821243904
18.510724554251635,-14.739200424470942
18.668837810315406,-14.668127830325519
18.826951066379173,-14.59310616860849
18.985064322442945,-14.514545753427747
19.143177578506712,-14.432892400213255
19.301290834570484,-14.348622006324707
19.45940409063425,-14.262235272260986
19.61751734669802,-14.174265888064475
19.77563060276179,-14.085280244330214
19.933743858825558,-13.995859411223847
20.09185711488933,-13.906580534190962
20.249970370953097,-13.817998227689401
20.408083627016865,-13.730630334716306
20.566196883080636,-13.644967381840345
20.724310139144404,-13.561473351012026
20.882423395208175,-13.480579862754244
21.040536651271943,-13.402681079883397
21.19864990733571,-13.328129345660885
21.35676316339948,-13.257231556374972
21.51487641946325,-13.190246268353098
21.67298967552702,-13.127381539404574
21.831102931590788,-13.06879350469366
21.989216187654556,-13.014585687043079
22.147329443718327,-12.9648090416679
22.305442699782095,-12.919462735339833
22.463555955845866,-12.87849565998194
22.621669211909634,-12.841808680693722
22.7797824679734,-12.80925761820663
22.937895724037173,-12.780656965769941
23.09600898010094,-12.755784340467098
23.25412223616471,-12.734385668962375
23.41223549222848,-12.716181101305551
23.57034874829225,-12.700870984923835
23.728462004356018,-12.688142218354976
23.886575260419786,-12.677676920231523
24.044688516483557,-12.669161975689677
24.202801772547325,-12.662299265196102
24.360915028611096,-12.656815363964684
24.519028284674864,-12.652451511179331
24.67714154073863,-12.648951112387515
24.835254796802403,-12.64605974723405
24.99336805286617,-12.64352554589656
25.15148130892994,-12.64109951350854
25.30959456499371,-12.638535802569931
25.467707821057477,-12.635591933345276
25.62582107712125,-12.632028962249425
25.783934333185016,-12.627611598220806
25.942047589248787,-12.622108267082226
26.100160845312555,-12.615291123889273
26.258274101376323,-12.60693601326622
26.416387357440094,-12.596822377729538
26.57450061350386,-12.584733113998915
26.732613869567633,-12.570454377295883
26.8907271256314,-12.553775333629956
27.048840381695168,-12.534487860072355
27.20695363775894,-12.512386193017262
27.365066893822707,-12.487266524430668
27.52318014988648,-12.458920997839645
