observation_index,A,B,M,N,value,reciprocal_group,reciprocal_pair_count,reciprocal_error_percent,reciprocal_mean_value,reciprocal_partner_value
295,23,44,30,37,9.34269907,23-44|30-37,1,0.15385617455065556,9.335517435,9.3283358
296,23,47,31,39,8.51408596,23-47|31-39,1,0.12645765400374878,8.508706005,8.50332605
297,23,50,32,41,7.56535471,23-50|32-41,1,0.19523187429897712,7.55797692,7.55059913
298,23,53,33,43,6.92103073,23-53|33-43,1,0.13674287301991564,6.916301955,6.91157318
299,23,56,34,45,6.62765802,23-56|34-45,1,0.2215789035321132,6.6203234,6.61298878
300,24,27,25,26,271.023677,24-27|25-26,1,0.027733951584708722,271.06126500000005,271.098853
301,24,30,26,28,80.9650354,24-30|26-28,1,0.018420881913517255,80.95757885,80.9501223
302,24,33,27,30,35.0789709,24-33|27-30,1,0.09665899051764835,35.0620256,35.0450803
303,24,36,28,32,21.8544488,24-36|28-32,1,0.07485558177203659,21.8626315,21.8708142
304,24,39,29,34,11.1732921,24-39|29-34,1,0.06499211650299122,11.1696624,11.1660327
305,24,42,30,36,9.44050541,24-42|30-36,1,0.06915293431514861,9.437242345000001,9.43397928
306,24,45,31,38,9.36168389,24-45|31-38,1,0.3000109583017972,9.347661885,9.33363988
307,24,48,32,40,8.28747485,24-48|32-40,1,0.2915998362865278,8.27540931,8.26334377
308,24,51,33,42,7.33167839,24-51|33-42,1,0.15519109619442076,7.325993745,7.3203091
309,24,54,34,44,6.75859173,24-54|34-44,1,0.24626890244421257,6.75027981,6.74196789
310,25,28,26,27,257.254063,25-28|26-27,1,0.06608284773556937,257.3390915,257.42412
311,25,31,27,29,83.4271514,25-31|27-29,1,0.11723281205374071,83.37827805,83.3294047
312,25,34,28,31,34.27535,25-34|28-31,1,0.01603058865419484,34.27260295000001,34.2698559
313,25,37,29,33,20.0590633,25-37|29-33,1,0.07270778245417768,20.0517737,20.0444841
314,25,40,30,35,11.7017776,25-40|30-35,1,0.939878643655578,11.7570285,11.8122794
315,25,43,31,37,10.8113676,25-43|31-37,1,0.25524590798867236,10.797587400000001,10.7838072
316,25,46,32,39,9.31479006,25-46|32-39,1,0.3016500093427563,9.300762185,9.28673431
317,25,49,33,41,8.20003214,25-49|33-41,1,0.2615444594797103,8.18932278,8.17861342
318,25,52,34,43,7.47856575,25-52|34-43,1,0.3306385460729801,7.466222645,7.45387954
319,25,55,35,45,7.21794369,25-55|35-45,1,0.5028780859878171,7.199840480000001,7.18173727
320,26,29,27,28,207.457999,26-29|27-28,1,0.16752734419870188,207.28437,207.110741
321,26,32,28,30,76.19431,26-32|28-30,1,0.005810763771351526,76.1965238,76.1987376
322,26,35,29,32,37.5621789,26-35|29-32,1,0.09994183636900524,37.58095845,37.599738
323,26,38,30,34,18.022616,26-38|30-34,1,0.00025190603395373613,18.0225933,18.0225706
324,26,41,31,36,11.9857668,26-41|31-36,1,0.10185760025007067,11.9796657,11.9735646
325,26,44,32,38,10.9517498,26-44|32-38,1,0.3412995911266661,10.9330925,10.9144352
326,26,47,33,40,9.21020438,26-47|33-40,1,0.2982638109862783,9.19648948,9.18277458
327,26,50,34,42,8.18612684,26-50|34-42,1,0.3686475104035219,8.171065625,8.15600441
328,26,53,35,44,7.42940546,26-53|35-44,1,1.5570594240291284,7.372012155,7.31461885
329,26,56,36,46,7.08850807,26-56|36-46,1,1.0050476298335995,7.05306474,7.01762141
