72
# x	 y
0 -8.727
0.953939201	-8.427
1.9538787	-8.438
2.948350921	-8.333
3.941245176	-8.214
4.924543706	-8.032
5.918475293	-7.922
6.916961648	-7.867
7.914911546	-7.803
8.908953296	-7.694
9.882143925	-7.464
10.87954856	-7.392
11.87853554	-7.347
12.87352298	-7.247
13.85569201	-7.059
14.8484659	-6.939
15.84722511	-6.8892
16.84598432	-6.8394
17.84474353	-6.7896
18.84350274	-6.7398
19.84226195	-6.69
20.83744837	-6.592
21.82973058	-6.468
22.82274418	-6.586
23.82022049	-6.515
24.81982842	-6.487
25.81723305	-6.415
26.81722505	-6.411
27.81711254	-6.426
28.81674798	-6.399
29.80940048	-6.278
30.80438792	-6.378
31.80005403	-6.285
32.78105556	-6.091
33.77573692	-5.988
34.77497613	-5.949
35.77471159	-5.926
36.76100516	-5.761
37.7521212	-5.628
38.74489509	-5.508
39.74144463	-5.425
40.72872322	-5.266
41.71238983	-5.086
42.70643158	-4.977
43.67467741	-4.727
44.66792663	-4.611
45.64751787	-4.41
46.63863391	-4.277
47.62302407	-4.101
48.62289606	-4.117
49.61492631	-3.991
50.60464899	-3.848
51.58037385	-3.629
52.57066623	-3.49
53.55245032	-3.3
54.54052117	-3.146
55.53216577	-3.017
56.49804309	-2.758
57.45745749	-2.476
58.43621946	-2.271
59.40674458	-2.03
60.38040571	-1.802
61.37055722	-1.662
62.32481033	-1.363
63.30810886	-1.181
64.29177547	-1.001
65.27470171	-0.817
66.26759597	-0.698
67.24899089	-0.506
68.24417731	-0.408
69.24011907	-0.318
70.18820978	0
936
# a	b	m	n	rhoa	err	u 	i
12	23	17	18	199.22	0.3	15.703	7.429
12	21	16	17	189.23	0.67	15.282	5.074
12	19	15	16	234.88	0.26	15.043	2.415
12	17	14	15	222.46	0.46	15.244	1.292
12	15	13	14	310.01	2.13	16.237	0.329
13	50	31	32	118.95	1.19	3.735	33.734
13	48	30	31	123.3	1.14	3.486	27.182
13	46	29	30	248	2.96	7.985	27.513
13	44	28	29	205.23	2.06	5.54	20.352
13	42	27	28	246.53	1.03	14.146	37.856
13	40	26	27	267.84	0.48	12.283	26.221
13	38	25	26	264.21	0.37	13.009	24.131
13	36	24	25	199.07	0.47	11.156	23.239
13	34	23	24	212.33	0.6	21.414	34.853
13	32	22	23	183.3	0.34	18.788	28.981
13	30	21	22	154.83	0.35	18.73	27.364
13	28	20	21	192.08	0.34	17.135	15.694
13	26	19	20	207	0.59	17.364	11.068
13	24	18	19	205.04	0.55	17.594	8.087
13	22	17	18	209.14	0.66	16.705	5.019
13	20	16	17	223.03	0.51	15.607	2.638
13	18	15	16	280.74	0.07	13.668	0.918
13	16	14	15	257.01	0.09	13.401	0.328
14	51	32	33	102.21	1.39	3.467	36.445
14	49	31	32	127.76	0.99	2.12	15.955
14	47	30	31	118.57	1.84	3.782	27.259
14	45	29	30	236.06	0.43	7.985	25.504
14	43	28	29	212.06	3.52	5.406	16.819
14	41	27	28	244.18	0.72	7.66	17.937
14	39	26	27	258.87	0.25	16.19	30.65
14	37	25	26	255.51	0.21	15.359	24.927
14	35	24	25	228.69	0.58	14.136	21.361
14	33	23	24	198.04	0.22	16.19	23.115
14	31	22	23	174.78	0.19	16.123	20.865
14	29	21	22	160.03	0.45	13.448	14.785
14	27	20	21	200.17	0.46	15.779	10.401
14	25	19	20	223.03	0.28	15.168	6.41
14	23	18	19	216.07	0.68	15.55	4.522
14	21	17	18	238.47	0.43	15.015	2.374
14	19	16	17	315.2	0.66	15.206	0.909
14	17	15	16	368.46	0.42	17.661	0.301
15	52	33	34	85.65	2.08	3.639	45.652
15	50	32	33	106.91	0.4	4.222	37.963
15	48	31	32	115.19	1.49	4.145	30.751
15	46	30	31	121	0.64	5.12	31.901
15	44	29	30	222.23	2.78	7.874	23.376
15	42	28	29	191.78	0.38	15.454	46.075
15	40	27	28	234.5	0.92	14.929	31.2
15	38	26	27	247.48	0.13	16.342	27.384
15	36	25	26	241.42	0.72	15.788	22.6
15	34	24	25	181.92	0.23	16.639	25.86
15	32	23	24	183.64	0.73	16.113	19.847
15	30	22	23	163.37	0.21	15.75	16.961
15	28	21	22	157.38	0.22	15.731	13.189
15	26	20	21	208.85	0.34	15.578	7.03
15	24	19	20	218.97	0.3	15.32	4.396
15	22	18	19	232.96	0.84	15.187	2.458
15	20	17	18	298.1	0.48	15.282	0.966
15	18	16	17	406.87	0.21	18.129	0.28
16	53	34	35	125.06	1.56	7.794	66.958
16	51	33	34	93.23	0.49	3.992	41.167
16	49	32	33	111.84	2.56	2.187	16.712
16	47	31	32	115.04	0.44	4.556	29.861
16	45	30	31	115.94	1.62	4.871	27.72
16	43	29	30	217.17	2.41	6.696	17.628
16	41	28	29	195.6	2.96	7.603	19.049
16	39	27	28	224.1	0.31	15.511	28.703
16	37	26	27	241.78	0.31	15.234	21.775
16	35	25	26	209.25	0.22	16.553	22.366
16	33	24	25	171.24	0.24	16.295	21.524
16	31	23	24	173.01	0.26	15.836	16.103
16	29	22	23	171.85	0.6	13.105	10.062
16	27	21	22	164.79	0.28	15.645	8.948
16	25	20	21	225.78	0.24	15.397	4.285
16	23	19	20	244.45	0.32	15.043	2.32
16	21	18	19	291.15	0.95	15.368	0.995
16	19	17	18	471.41	0.85	21.462	0.286
17	54	35	36	232.56	0.68	15.024	69.414
17	52	34	35	135.75	0.16	11.872	84.075
17	50	33	34	93.94	1.2	6.648	60.472
17	48	32	33	102.71	0.42	6.008	44.104
17	46	31	32	112.5	0.86	7.899	46.32
17	44	30	31	111.54	0.4	5.931	30.405
17	42	29	30	205.4	1.53	15.855	37.832
17	40	28	29	189.5	0.65	15.368	33.63
17	38	27	28	219.24	0.9	16.581	26.137
17	36	26	27	232.9	0.29	15.674	19.028
17	34	25	26	219.86	0.76	15.855	16.312
17	32	24	25	162.56	0.33	15.531	16.808
17	30	23	24	168.09	0.76	15.741	12.356
17	28	22	23	175.47	0.22	15.578	8.368
17	26	21	22	184.33	0.2	15.674	5.343
17	24	20	21	237.96	0.37	15.091	2.391
17	22	19	20	328.46	0.35	16.171	0.928
17	20	18	19	432.63	0.46	23.945	0.348
18	55	36	37	169.9	1.44	12.656	80.031
18	53	35	36	218.16	0.14	16.963	74.749
18	51	34	35	145.33	1.43	9.15	53.8
18	49	33	34	105.23	0.31	2.588	18.546
18	47	32	33	108.64	1.34	5.951	36.137
18	45	31	32	111.18	0.27	6.409	32.959
18	43	30	31	113.95	1.63	4.594	19.76
18	41	29	30	203.96	1.74	10.526	21.401
18	39	28	29	185.5	1.32	15.359	28.612
18	37	27	28	218.61	0.6	14.614	18.901
18	35	26	27	236.13	0.14	15.206	14.566
18	33	25	26	214.87	0.29	15.206	12.45
18	31	24	25	161.35	0.48	15.32	12.528
18	29	23	24	182.87	0.7	12.875	6.636
18	27	22	23	192.62	0.27	15.234	4.969
18	25	21	22	211.5	0.27	15.531	2.768
18	23	20	21	281.39	0.89	15.731	1.054
18	21	19	20	445.05	0.04	30.058	0.424
19	56	37	38	229.29	4.21	7.675	35.962
19	54	36	37	171.56	0.22	12.445	69.736
19	52	35	36	213.48	0.44	14.595	58.418
19	50	34	35	151.1	0.24	12.159	60.671
19	48	33	34	106.32	0.93	7.125	44.215
19	46	32	33	107.58	0.21	8.749	46.501
19	44	31	32	112.19	0.84	6.982	30.501
19	42	30	31	109.5	0.15	15.76	59.686
19	40	29	30	203.64	1.54	15.712	26.663
19	38	28	29	186.9	0.61	15.836	23.957
19	36	27	28	218.72	0.91	15.531	16.061
19	34	26	27	234.26	0.31	15.445	11.599
19	32	25	26	217.32	0.79	15.426	9.366
19	30	24	25	162.49	0.25	15.397	8.93
19	28	23	24	189.73	0.72	15.435	5.112
19	26	22	23	215.85	0.17	15.426	2.694
19	24	21	22	223.76	0.46	15.483	1.304
19	22	20	21	358.91	0.52	25.388	0.444
20	57	38	39	204.27	2.27	6.705	35.268
20	55	37	38	221.13	2.89	14.757	64.155
20	53	36	37	159.74	1.21	15.149	81.038
20	51	35	36	237.88	0.25	12.522	39.69
20	49	34	35	180.5	2.99	4.737	17.315
20	47	33	34	109.48	0.43	6.208	32.424
20	45	32	33	108.1	0.54	6.571	29.792
20	43	31	32	113.47	0.56	5.1	18.64
20	41	30	31	112.29	1.37	6.485	19.96
20	39	29	30	206.05	1.6	15.502	21.272
20	37	28	29	191.35	0.89	15.043	17.783
20	35	27	28	224.36	0.25	15.263	11.968
20	33	26	27	234.48	0.38	15.416	8.675
20	31	25	26	222.93	0.43	15.301	6.469
20	29	24	25	181.17	0.94	12.875	4.465
20	27	23	24	202.08	0.15	15.225	2.84
20	25	22	23	242.32	0.42	15.426	1.2
20	23	21	22	297.25	0.78	17.536	0.371
21	58	39	40	196.36	0.61	8.386	45.886
21	56	38	39	205.96	1.48	7.431	34.685
21	54	37	38	215.41	2.47	16.629	65.966
21	52	36	37	161.55	0.2	15.913	74.266
21	50	35	36	272.58	0.47	13.897	33.636
21	48	34	35	165.81	0.16	12.417	42.818
21	46	33	34	109.49	0.67	10.077	45.106
21	44	32	33	107.94	0.31	7.765	29.833
21	42	31	32	114.27	0.44	15.846	47.919
21	40	30	31	115.09	0.17	15.645	38.437
21	38	29	30	210.9	1.58	15.855	17.005
21	36	28	29	192.93	0.69	15.636	14.258
21	34	27	28	226.41	1.12	15.483	9.023
21	32	26	27	239.3	0.5	15.368	6.053
21	30	25	26	226.9	0.75	15.215	4.213
21	28	24	25	178.54	0.36	15.149	3.199
21	26	23	24	220.2	0.47	15.521	1.329
21	24	22	23	278.15	0.52	17.785	0.402
22	59	40	41	259.9	2.37	9.236	38.183
22	57	39	40	195.91	0.24	7.775	38.152
22	55	38	39	203.94	1.33	16.304	68.315
22	53	37	38	210.67	2.59	15.005	53.704
22	51	36	37	187.45	1.38	14.652	51.569
22	49	35	36	324.46	0.24	10.22	18.01
22	47	34	35	177.55	0.85	12.703	35.065
22	45	33	34	110.48	0.17	8.52	31.979
22	43	32	33	113.75	0.55	6.419	19.501
22	41	31	32	114.54	0.53	8.482	20.938
22	39	30	31	114.47	0.44	15.502	30.631
22	37	29	30	210.22	1.82	14.852	12.43
22	35	28	29	193.97	0.65	15.082	10.259
22	33	27	28	213.85	0.54	15.292	6.739
22	31	26	27	231.84	0.35	15.263	4.136
22	29	25	26	232.98	0.39	13.744	2.224
22	27	24	25	182.33	0.42	15.225	1.574
22	25	23	24	285.87	1.51	16.285	0.358
23	60	41	42	189.81	3.02	3.3	18.679
23	58	40	41	246.52	0.54	9.284	36.203
23	56	39	40	194.87	0.66	6.724	29.486
23	54	38	39	199.52	0.83	13.382	50.569
23	52	37	38	208.83	2.64	16.83	53.167
23	50	36	37	195.27	0.51	15.617	45.727
23	48	35	36	300.29	0.8	14.002	22.852
23	46	34	35	171.25	0	15.311	37.076
23	44	33	34	113.06	0.93	8.52	26.042
23	42	32	33	111.76	0.27	15.884	40.184
23	40	31	32	117.07	0.41	15.788	30.506
23	38	30	31	115.39	0.21	16.209	24.712
23	36	29	30	205.61	1.99	15.664	10.052
23	34	28	29	185.13	0.79	15.741	8.014
23	32	27	28	208.16	1.12	15.483	4.674
23	30	26	27	227.29	0.35	15.206	2.522
