56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
930
# a b m n r rhoa k err
11 20 14 17 60.8827571 1908.857230760173 31.353002421110347 0.05
11 23 15 19 43.7027086 1893.1502054183827 43.31883002369292 0.05
11 26 16 21 29.2509703 1546.8518586899481 52.882069990339716 0.05
11 29 17 23 22.1571623 1389.22582584034 62.698725000553885 0.05
11 32 18 25 17.4108525 1241.6319310442443 71.31367812370154 0.05
11 35 19 27 13.4947733 1064.9161767087214 78.91323203693399 0.05
11 38 20 29 10.5610221 921.1494626144299 87.22162058674509 0.05
11 41 21 31 9.1146792 893.0047249370093 97.9743450473835 0.05
11 44 22 33 8.07099482 898.2309683831896 111.29123341243697 0.05
11 47 23 35 6.9817795 857.7012265749806 122.84851255686041 0.05
11 50 24 37 6.78679144 933.9306733715616 137.61004469168742 0.05
11 53 25 39 6.14945343 909.0503502372819 147.82620286259845 0.05
11 56 26 41 5.87815853 908.849541430472 154.61467001817522 0.05
12 15 13 14 297.259981 3081.5342775004874 10.366461933873593 0.05
12 18 14 16 103.081959 2148.1242039425774 20.838992824559895 0.05
12 21 15 18 69.7287093 2294.2527594220837 32.9025559551277 0.05
12 24 16 20 44.0953227 1894.0633068663371 42.953837071393906 0.05
12 27 17 22 28.6854995 1528.1099466322007 53.271163942332635 0.05
12 30 18 24 21.7104337 1341.15575984273 61.77471064720048 0.05
12 33 19 26 15.9659609 1135.6786246571248 71.1312417567755 0.05
12 36 20 28 13.133796 1031.9916609423879 78.5752771660522 0.05
12 39 21 30 10.3416026 910.503513146803 88.04278682559345 0.05
12 42 22 32 8.92579072 887.2319460859608 99.40093532530872 0.05
12 45 23 34 7.65161166 868.1039838150451 113.45374313142352 0.05
12 48 24 36 7.02376431 881.7051597651823 125.53171217745236 0.05
12 51 25 38 6.58313649 911.9858999167922 138.53364597591568 0.05
12 54 26 40 6.26902931 928.0606959610031 148.03897861517626 0.05
13 16 14 15 185.633897 1949.298183960812 10.5007663765245 0.05
13 19 15 17 108.124021 2295.905883775005 21.234003901639998 0.05
13 22 16 19 60.0358011 1961.882532537653 32.678543412284924 0.05
13 25 17 21 35.7044684 1530.3579471656897 42.861804579218706 0.05
13 28 18 23 25.6979151 1339.9540865230233 52.14252134108044 0.05
13 31 19 25 18.8557761 1157.5751418103907 61.39101014306119 0.05
13 34 20 27 14.3902894 1013.6099038923966 70.4370757055377 0.05
13 37 21 29 11.584584 908.3537584120321 78.41056341876688 0.05
13 40 22 31 9.3371193 825.4758790420018 88.40798243222638 0.05
13 43 23 33 8.03928765 823.3624529621222 102.41733954651096 0.05
13 46 24 35 7.21606486 827.4978445609574 114.67439118347356 0.05
13 49 25 37 6.74418542 869.1369411694028 128.8720411796452 0.05
13 52 26 39 6.41492048 892.4199434690161 139.11629088019748 0.05
13 55 27 41 6.04877266 891.5466419218274 147.39298235120435 0.05
14 17 15 16 219.088933 2354.018887293103 10.744581458585602 0.05
14 20 16 18 93.284138 2029.9671472477062 21.761118136158434 0.05
14 23 17 20 49.9268973 1607.297793446506 32.19302380816094 0.05
14 26 18 22 31.168284 1303.624045492664 41.82533903671643 0.05
14 29 19 24 21.1014271 1087.04114989196 51.515053685253356 0.05
14 32 20 26 16.463986 1013.4692266912031 61.55673520927454 0.05
