56
# x y z
0.0 0.0 0.0
1.5 0.0 0.0
3.0 0.0 0.0
4.5 0.0 0.0
6.0 0.0 0.0
7.5 0.0 0.0
9.0 0.0 0.0
10.5 0.0 0.0
12.0 0.0 0.0
13.5 0.0 0.0
15.0 0.0 0.0
16.5 0.0 0.0
18.0 0.0 0.0
19.5 0.0 0.0
21.0 0.0 0.0
22.5 0.0 0.0
24.0 0.0 0.0
25.5 0.0 0.0
27.0 0.0 0.0
28.5 0.0 0.0
30.0 0.0 0.0
31.5 0.0 0.0
33.0 0.0 0.0
34.5 0.0 0.0
36.0 0.0 0.0
37.5 0.0 0.0
39.0 0.0 0.0
40.5 0.0 0.0
42.0 0.0 0.0
43.5 0.0 0.0
45.0 0.0 0.0
46.5 0.0 0.0
48.0 0.0 0.0
49.5 0.0 0.0
51.0 0.0 0.0
52.5 0.0 0.0
54.0 0.0 0.0
55.5 0.0 0.0
57.0 0.0 0.0
58.5 0.0 0.0
60.0 0.0 0.0
61.5 0.0 0.0
63.0 0.0 0.0
64.5 0.0 0.0
66.0 0.0 0.0
67.5 0.0 0.0
69.0 0.0 0.0
70.5 0.0 0.0
72.0 0.0 0.0
73.5 0.0 0.0
75.0 0.0 0.0
76.5 0.0 0.0
78.0 0.0 0.0
79.5 0.0 0.0
81.0 0.0 0.0
82.5 0.0 0.0
900
# a b m n r rhoa k err
13 28 18 23 25.6979151 1212.087171805022 47.16675135272052 0.01
13 31 19 25 18.8557761 1066.7688312331316 56.57517492653785 0.01
13 34 20 27 14.3902894 949.5800968909589 65.98756081242945 0.01
13 37 21 29 11.584584 873.5262173776151 75.40419383014661 0.01
13 40 22 31 9.3371193 792.020815755346 84.82496477852072 0.01
13 43 23 33 8.03928765 757.6788079432605 94.2470080596333 0.01
13 46 24 35 7.21606486 748.0887005640934 103.66989696986917 0.01
13 49 25 37 6.74418542 762.7197018856123 113.09293182001693 0.01
13 52 26 39 6.41492048 785.9297556228935 122.5158999356596 0.01
13 55 27 41 6.04877266 798.0657644593725 131.9384624482436 0.01
14 17 15 16 219.088933 2065.351341279755 9.426999862561543 0.01
14 20 16 18 93.284138 1758.9640852437728 18.855982624224634 0.01
14 23 17 20 49.9268973 1413.5389277489976 28.312172480003028 0.01
14 26 18 22 31.168284 1176.6652356384411 37.75200571319361 0.01
14 29 19 24 21.1014271 995.2920954788232 47.16705134501653 0.01
14 32 20 26 16.463986 931.4600277723508 56.575608590310445 0.01
14 35 21 28 13.4192321 885.5019673456711 65.98752899919445 0.01
14 38 22 30 10.0412505 757.1563428991121 75.40458659995706 0.01
14 41 23 32 8.38114379 710.9301679634785 84.82495775955165 0.01
14 44 24 34 7.59673667 715.9694870354293 94.24697974102995 0.01
14 47 25 36 6.56509746 680.6029419608886 103.66989159074703 0.01
14 50 26 38 6.63725049 750.6261752649565 113.0929405777115 0.01
14 53 27 40 6.19849935 759.4147736531945 122.51590760482931 0.01
14 56 28 42 5.85252225 772.1733601312463 131.93856035852684 0.01
15 18 16 17 270.920732 2555.557051241303 9.43285894872491 0.01
15 21 17 19 89.751664 1692.0660616443515 18.852754213496826 0.01
15 24 18 21 47.4924641 1344.673590694004 28.313409636161705 0.01
15 27 19 23 28.0336903 1058.3314332910893 37.752126886094956 0.01
15 30 20 25 20.2879413 956.924622690998 47.16716243116289 0.01
15 33 21 27 15.0817979 853.2559141034191 56.57521203777827 0.01
15 36 22 29 11.9438869 788.1468321247028 65.98746611747494 0.01
15 39 23 31 8.8019016 663.7033401165784 75.40453986858684 0.01
15 42 24 33 7.96654771 675.7617610317395 84.82491860100082 0.01
15 45 25 35 6.69939614 631.3977144299893 94.24695916399254 0.01
15 48 26 37 6.77329054 702.1857561780957 103.66981189294971 0.01
15 51 27 39 6.35995499 719.2661574577096 113.0929634861629 0.01
15 54 28 41 5.98420569 733.1597803324692 122.51580549071488 0.01
16 19 17 18 226.196914 2131.8515590666275 9.424759698828728 0.01
16 22 18 20 94.6856794 1785.1832702682643 18.853783186438903 0.01
16 25 19 22 43.3554052 1227.4719699761322 28.31185556480815 0.01
16 28 20 24 25.7564739 972.3585317151246 37.75200501009281 0.01
16 31 21 26 19.7078286 929.5513942032608 47.16660638114443 0.01
16 34 22 28 14.2180774 804.4004783567791 56.57589670715811 0.01
16 37 23 30 10.4737236 691.133623213468 65.98738420149526 0.01
16 40 24 32 8.65900582 652.9282269952948 75.40452571208628 0.01
16 43 25 34 7.20951703 611.5456019473937 84.82476695771031 0.01
16 46 26 36 6.72429363 633.7440048510449 94.2469261044219 0.01
16 49 27 38 6.74501321 699.2541426383592 103.66979587255089 0.01
16 52 28 40 6.32087089 714.8459205772235 113.09294763608492 0.01
16 55 29 42 6.08749119 745.8143654017347 122.515884150583 0.01
17 20 18 19 293.921743 2774.9850289267856 9.441237659395568 0.01
17 23 19 21 89.3328315 1684.4910764562978 18.85634931941341 0.01
17 26 20 23 47.6517733 1349.1725985553187 28.313166648833164 0.01
17 29 21 25 28.4185156 1072.851121664936 37.75183534445184 0.01
17 32 22 27 19.3103527 910.815332898523 47.167203367472574 0.01
17 35 23 29 13.5200304 764.9015007502926 56.57542757820224 0.01
17 38 24 31 10.0587956 663.7555978277013 65.98758183610981 0.01
17 41 25 33 7.93446816 598.2955889360695 75.4046240871259 0.01165689301712998
17 44 26 35 7.218633 612.3185279664779 84.82472068693309 0.01
17 47 27 37 7.06782136 666.1199949443865 94.2468634980308 0.015002820693935204
17 50 28 39 6.70325508 694.9250531174546 103.66979099316248 0.01
17 53 29 41 6.34380796 717.4402280918407 113.09299282316873 0.01
17 56 30 43 6.10499692 747.9598714798714 122.51601127423196 0.01
18 21 19 20 299.264509 2818.3499770716567 9.417588428675506 0.01
18 24 20 22 102.825993 1938.7859192146273 18.855017711471334 0.01
18 27 21 24 45.1834717 1279.2173063292894 28.31162055945536 0.01
18 30 22 26 27.0253004 1020.2789707105883 37.752733757238396 0.01
18 33 23 28 17.3965109 820.5472597924821 47.167346631127174 0.01
18 36 24 30 13.4347997 760.0791898244217 56.57540170281972 0.01
18 39 25 32 8.84650944 583.7606607283296 65.98768301640219 0.012113458240718314
18 42 26 34 7.87753083 594.0015250379765 75.40453193478349 0.012140153808885742
18 45 27 36 7.01962045 595.4380584751128 84.82482246958422 0.01
18 48 28 38 7.175969 676.3125351674721 94.24685853122722 0.01
18 51 29 40 6.77341005 702.1992243229327 103.66997112819601 0.010228524906793905
18 54 30 42 6.40355174 724.1964734068019 113.09293698418715 0.013877701992864519
19 22 20 21 257.333907 2433.2883596080615 9.45576270136862 0.01
19 25 21 23 111.382526 2099.9297377007224 18.853314008166077 0.01
19 28 22 25 43.1851915 1222.6806728312365 28.31249857561096 0.01
19 31 23 27 25.5659454 965.171133919632 37.75221760113874 0.01
19 34 24 29 16.7405877 789.606808334559 47.16720956783131 0.01
19 37 25 31 11.1747454 632.2183695225708 56.575639702947576 0.01
19 40 26 33 8.48693065 560.0335063119524 65.98775569256624 0.01
19 43 27 35 7.3417107 553.5980015474813 75.40449687665864 0.01
19 46 28 37 7.41999993 629.3995852066967 84.82474274183674 0.01
19 49 29 39 7.24892922 683.1899666121618 94.24701854271406 0.01
19 52 30 41 6.78369353 703.2655437029895 103.67000522545563 0.01
19 55 31 43 6.46872636 731.5676469062554 113.09299639415501 0.01
20 23 21 22 296.390172 2789.3728015965644 9.411151465563995 0.01
20 26 22 24 90.9470466 1714.7656787560074 18.85455045393423 0.01
20 29 23 26 38.1847204 1081.1061536288266 28.312532926883147 0.01
20 32 24 28 25.6073958 966.7456274749214 37.752594407703164 0.01
20 35 25 30 15.2556688 719.5655498692197 47.16709305259823 0.01
20 38 26 32 10.0314073 567.5327310651462 56.57558447109871 0.01
20 41 27 34 8.03467506 530.1895316101597 65.98767562482605 0.01
20 44 28 36 7.33559036 553.1353217974155 75.40433620906491 0.01
20 47 29 38 7.69216692 652.4864448882973 84.82479016306856 0.01
20 50 30 40 7.27062795 685.2349033641414 94.24700425829676 0.01
20 53 31 42 6.70179853 694.7747960904958 103.66990188982834 0.01
20 56 32 44 6.17602152 698.465461619621 113.09310684196272 0.01
21 27 23 25 84.7931769 1598.8736676553417 18.856159494306453 0.01
21 30 24 27 43.182707 1222.6529741935885 28.313486095107205 0.01
21 33 25 29 20.6236316 778.5953615469813 37.75258289364427 0.01
21 36 26 31 14.7375552 695.1312472217701 47.16733798708826 0.01
21 39 27 33 9.09875913 514.7711681087425 56.575974894363696 0.01
21 42 28 35 7.58148724 500.2846695333529 65.98766886974974 0.01
21 45 29 37 7.93590681 598.4041313565363 75.40463184402442 0.01
21 48 30 39 7.69374556 652.621435858656 84.82493094802267 0.01
21 51 31 41 7.03952063 663.454537097064 94.24711879806848 0.01
21 54 32 43 6.53635915 677.6243030932709 103.66999235243536 0.01
22 25 23 24 252.343208 2378.400520288877 9.425260696094808 0.01
22 28 24 26 93.4660284 1762.0419530626639 18.852218107757576 0.01
22 31 25 28 41.1163345 1164.127475140498 28.313016938328925 0.01
22 34 26 30 20.4695218 772.7654854022512 37.75200480756963 0.01
22 37 27 32 13.4934437 636.4440971406129 47.16691389468004 0.01
22 40 28 34 8.71362236 492.9757920632906 56.575299192021745 0.01
22 43 29 36 7.91979301 522.6075117842425 65.98752153299553 0.01
22 46 30 38 8.33110383 628.2019430543979 75.40440689170933 0.01
22 49 31 40 7.7256403 655.3255849546124 84.82476008553134 0.01
22 52 32 42 6.92180214 652.3595860418031 94.24707219987123 0.01
22 55 33 44 6.4092071 664.4419480216766 103.66991386839047 0.01
23 29 25 27 91.4737023 1724.7501910126211 18.85514795668898 0.01
23 32 26 29 40.146158 1136.6185565972119 28.31201323417329 0.01
