56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
930
# a b m n r rhoa k
10 46 22 34 6.9817795 857.701226575003 122.84851255686362
10 49 23 36 6.78679144 933.9306733715893 137.61004469169148
10 52 24 38 6.14945343 909.050350237308 147.82620286260268
10 55 25 40 5.87815853 908.849541430498 154.61467001817965
11 14 12 13 297.259981 3081.534277500486 10.36646193387359
11 17 13 15 103.081959 2148.1242039425806 20.838992824559927
11 20 14 17 69.7287093 2294.252759422096 32.90255595512788
11 23 15 19 44.0953227 1894.063306866354 42.95383707139429
11 26 16 21 28.6854995 1528.1099466322034 53.27116394233273
11 29 17 23 21.7104337 1341.1557598427437 61.774710647201104
11 32 18 25 15.9659609 1135.6786246571344 71.13124175677609
11 35 19 27 13.133796 1031.9916609424001 78.57527716605314
11 38 20 29 10.3416026 910.5035131468228 88.04278682559537
11 41 21 31 8.92579072 887.2319460859794 99.40093532531081
11 44 22 33 7.65161166 868.1039838150704 113.45374313142682
11 47 23 35 7.02376431 881.7051597652087 125.53171217745613
11 50 24 37 6.58313649 911.9858999168193 138.5336459759198
11 53 25 39 6.26902931 928.0606959610313 148.03897861518075
12 15 13 14 185.633897 1949.2981839608108 10.500766376524492
12 18 14 16 108.124021 2295.9058837750085 21.23400390164003
12 21 15 18 60.0358011 1961.8825325376572 32.678543412284995
12 24 16 20 35.7044684 1530.3579471656979 42.86180457921893
12 27 17 22 25.6979151 1339.9540865230308 52.14252134108074
12 30 18 24 18.8557761 1157.575141810403 61.39101014306184
12 33 19 26 14.3902894 1013.6099038924068 70.4370757055384
12 36 20 28 11.584584 908.3537584120472 78.41056341876819
12 39 21 30 9.3371193 825.4758790420203 88.40798243222837
12 42 22 32 8.03928765 823.3624529621429 102.41733954651353
12 45 23 34 7.21606486 827.4978445609861 114.67439118347754
12 48 24 36 6.74418542 869.1369411694279 128.87204117964893
12 51 25 38 6.41492048 892.4199434690426 139.1162908802016
12 54 26 40 6.04877266 891.5466419218534 147.39298235120864
13 16 14 15 219.088933 2354.0188872931008 10.744581458585591
13 19 15 17 93.284138 2029.9671472477128 21.761118136158505
13 22 16 19 49.9268973 1607.2977934465125 32.193023808161065
13 25 17 21 31.168284 1303.6240454926703 41.82533903671663
13 28 18 23 21.1014271 1087.0411498919693 51.5150536852538
13 31 19 25 16.463986 1013.469226691213 61.556735209275146
13 34 20 27 13.4192321 932.0458275284456 69.45597338080512
13 37 21 29 10.0412505 785.360614022109 78.21342710473252
13 40 22 31 8.38114379 745.4735323732577 88.94651506429504
13 43 23 33 7.59673667 794.3834159684611 104.56903410980824
13 46 24 35 6.56509746 758.9611544749266 115.60546649903453
13 49 25 37 6.63725049 860.9654702935179 129.71718810231584
13 52 26 39 6.19849935 865.8923691312414 139.69387108691743
13 55 27 41 5.85252225 845.7933555821184 144.51775139891495
14 17 15 16 270.920732 2733.865588356771 10.091016542642336
14 20 16 18 89.751664 1945.0496979183126 21.671461132111293
14 23 17 20 47.4924641 1476.5798363116057 31.09082386634063
14 26 18 22 28.0336903 1153.7115967801067 41.15446751511365
14 29 19 24 20.2879413 1039.5544401730713 51.24001616532039
14 32 20 26 15.0817979 920.6329028187924 61.042649485363576
14 35 21 28 11.9438869 822.2800110472988 68.84526100521755
14 38 22 30 8.8019016 693.8563201064278 78.83027459730154
14 41 23 32 7.96654771 725.8069225779445 91.10683184221394
14 44 24 34 6.69939614 708.5230570412897 105.75924191300169
14 47 25 36 6.77329054 797.8506517139152 117.79365538834766
14 50 26 38 6.35995499 824.7489596613757 129.6784271206573
14 53 27 40 5.98420569 830.9729164606862 138.86102174751386
15 18 16 17 226.196914 2496.594371994098 11.037260976929588
15 21 17 19 94.6856794 1960.8838414519798 20.709402455340886
15 24 18 21 43.3554052 1361.0489141427572 31.392831132916207
15 27 19 23 25.7564739 1073.5304652467323 41.68002458002344
15 30 20 25 19.7078286 1015.1342782013528 51.50918951067764
15 33 21 27 14.2180774 854.5165255888295 60.10070852398296
15 36 22 29 10.4737236 723.9584659595597 69.12140262700457
15 39 23 31 8.65900582 684.1244250068468 79.00727164620923
15 42 24 33 7.20951703 683.0968324974351 94.74931949740261
15 45 25 35 6.72429363 716.6704568590214 106.57929238271849
15 48 26 37 6.74501321 810.8165189665178 120.20977479546224
15 51 27 39 6.32087089 824.0606701196112 130.3713814853148
15 54 28 41 6.08749119 827.3002926651881 135.90168212878976
16 19 17 18 293.921743 3062.3581446442495 10.41895748639545
16 22 18 20 89.3328315 1846.9514399917693 20.674945694425563
16 25 19 22 47.6517733 1485.2210467993295 31.168221955746805
16 28 20 24 28.4185156 1181.8673608389465 41.58793434091071
16 31 21 26 19.3103527 989.9511758045726 51.265307847255045
16 34 22 28 13.5200304 812.6018414600858 60.103551354447085
16 37 23 30 10.0587956 696.9330636767512 69.28593555243843
16 40 24 32 7.93446816 637.9871131670047 80.40704182080992
16 43 25 34 7.218633 698.235120088806 96.72677916841124
16 46 26 36 7.06782136 762.3645494628659 107.86415086513531
16 49 27 38 6.70325508 811.182769925494 121.013262996027
16 52 28 40 6.34380796 823.4222187439324 129.79936087849865
16 55 29 42 6.10499692 808.8097489664468 132.4832362022628
17 20 18 19 299.264509 3188.3794642697626 10.654051410652784
17 23 19 21 102.825993 2225.6600396657277 21.644916569546066
17 26 20 23 45.1834717 1440.6993675760016 31.885539410111367
17 29 21 25 27.0253004 1128.679598470567 41.76381323297213
17 32 22 27 17.3965109 898.944082223329 51.673814789109755
17 35 23 29 13.4347997 811.5149319544718 60.403947217350165
17 38 24 31 8.84650944 616.9591859113189 69.74040892577388
17 41 25 33 7.87753083 660.5955538661441 83.85819974837776
17 44 26 35 7.01962045 690.1947603455217 98.32365799001593
17 47 27 37 7.175969 788.550133295874 109.88761703065802
17 50 28 39 6.77341005 818.6721432088821 120.8655813195426
17 53 29 41 6.40355174 813.8790967943644 127.09807460607234
18 21 19 20 257.333907 2732.75134055982 10.619476354353178
18 24 20 22 111.382526 2371.932383753616 21.29537252327727
18 27 21 24 43.1851915 1363.9293289373975 31.583264576640754
18 30 22 26 25.5659454 1065.1925783069535 41.66450962955406
