56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
903
# a b m n r rhoa k err
20 29 23 26 38.1847204 1208.530235007156 31.64957664603342 0.05
20 32 24 28 25.6073958 1059.7589224332432 41.384876881281436 0.05
20 35 25 30 15.2556688 773.1439587793442 50.679125832840846 0.05
20 38 26 32 10.0314073 595.0226915610117 59.31597369802856 0.05
20 41 27 34 8.03467506 581.6048130720125 72.38684934098785 0.05
20 44 28 36 7.33559036 650.2525638894516 88.6435217859482 0.05
20 47 29 38 7.69216692 757.2418454748909 98.44324146243187 0.05
20 50 30 40 7.27062795 803.3219581921476 110.4886625634788 0.05
20 53 31 42 6.70179853 783.5008895046125 116.90904851844488 0.05
20 56 32 44 6.17602152 755.4834456950507 122.32526121363819 0.05
21 27 23 25 84.7931769 1778.0430120552642 20.96917555232282 0.05
21 30 24 27 43.182707 1340.1593696679647 31.034630822656965 0.05
21 33 25 29 20.6236316 852.0890227967901 41.31614835462781 0.05
21 36 26 31 14.7375552 738.1401260779 50.08565641049474 0.05
21 39 27 33 9.09875913 546.5752162363524 60.07140187217511 0.05
21 42 28 35 7.58148724 568.9911788967795 75.05007406657317 0.05
21 45 29 37 7.93590681 706.0793069017735 88.97273163692475 0.05
21 48 30 39 7.69374556 757.1336023033135 98.40897341857423 0.05
21 51 31 41 7.03952063 764.3618818476916 108.58152451322408 0.05
21 54 32 43 6.53635915 744.7832481759514 113.94466416000893 0.05
22 25 23 24 252.343208 2708.2343643594395 10.73234499087227 0.05
22 28 24 26 93.4660284 1983.370668377071 21.220230519360243 0.05
22 31 25 28 41.1163345 1267.1721237363931 30.819189967831228 0.05
22 34 26 30 20.4695218 835.6218250250107 40.82273309506482 0.05
22 37 27 32 13.4934437 666.0294859704878 49.35948900653788 0.05
22 40 28 34 8.71362236 538.6704865315087 61.81935184663072 0.05
22 43 29 36 7.91979301 613.0775458188828 77.41080417692416 0.05
22 46 30 38 8.33110383 733.2477427889237 88.01327624180189 0.05
22 49 31 40 7.7256403 766.0889332898015 99.16186924853355 0.05
22 52 32 42 6.92180214 735.2652996147212 106.22454741457277 0.05
22 55 33 44 6.4092071 718.4749117135926 112.10043621676583 0.05
23 29 25 27 91.4737023 1884.2641757768968 20.598971380836925 0.05
23 32 26 29 40.146158 1234.5543024893734 30.75149314386132 0.05
23 35 27 31 22.4917946 904.3207121886378 40.206694408841784 0.05
23 38 28 33 12.0954081 600.5415585269496 49.65037587503556 0.05
23 41 29 35 9.07373403 569.9362841630812 62.81165860479614 0.05
23 44 30 37 9.34269907 730.460379284577 78.18515546863023 0.05
