x_m,y_m,gravity_disturbance_mGal
315222.448,15751.873,38.509
315560.158,79134.093,31.615
315560.158,74687.408,37.756
316063.195,23536.630,45.156
316903.941,78023.256,33.275
318246.716,84322.449,38.866
318751.769,78762.702,29.976
318921.128,45220.753,47.095
319758.850,32060.833,43.760
321776.037,76910.195,31.769
322280.081,92662.068,43.644
323456.521,2778.761,19.720
324127.909,75056.575,34.372
324800.304,94516.800,34.495
325640.043,72648.093,34.374
326312.438,69681.413,29.196
326480.789,37064.605,41.501
328328.617,67272.931,31.614
329505.057,108229.358,26.053
329987.932,110772.386,25.655
330176.444,50779.387,35.581
330513.146,65050.144,29.915
331856.929,40956.427,36.365
333034.377,69126.550,27.957
333034.377,62825.134,32.396
334510.220,108784.221,26.957
335553.592,59489.286,31.142
337401.420,57635.666,22.716
337738.122,55782.047,22.005
338072.807,54486.626,22.057
338183.697,108866.505,31.886
338241.158,51891.336,26.756
338745.203,99148.068,31.004
339921.643,102113.637,35.129
340089.994,43366.021,40.052
340594.038,49111.463,31.906
340762.389,96184.723,26.988
340929.732,37251.412,48.541
341265.426,88955.941,26.326
341433.777,106748.242,33.086
341602.128,91922.622,30.584
342274.523,84879.535,26.513
342777.560,48184.098,36.091
343281.604,47999.514,36.832
344626.395,29096.376,43.131
345635.493,69312.246,17.898
345800.819,83952.170,26.397
346138.529,45220.753,41.678
347650.663,64493.057,13.614
348825.087,107859.079,48.421
349161.789,45033.945,34.889
349499.499,18346.051,15.838
352522.758,81728.271,19.834
352522.758,42995.742,36.408
353698.190,12973.112,16.070
354875.639,81728.271,20.037
355547.026,40400.453,44.353
355715.377,105821.988,52.071
355882.720,10933.797,28.339
356724.474,39288.503,46.453
358401.935,38732.529,43.040
358571.294,80244.931,20.294
360251.779,102855.307,46.643
360923.166,38175.442,44.165
361426.203,741.670,26.436
361426.203,37806.275,42.976
361762.904,41882.681,33.997
362435.300,78392.423,17.708
363947.434,100631.409,47.621
363947.434,46144.783,13.127
365964.620,36507.518,52.700
366467.657,97480.144,45.658
366804.359,50779.387,9.513
367308.403,75426.855,12.591
368651.178,53187.869,3.577
369156.231,34657.235,50.290
370668.365,94329.992,39.608
371677.462,56153.438,6.301
372180.499,32616.808,53.989
373020.237,72832.677,11.333
374364.020,80244.931,27.196
374869.073,83396.195,27.257
374869.073,30392.909,53.854
374869.073,93033.459,37.633
375204.766,85990.373,30.119
375373.117,87842.880,27.238
375541.468,60230.956,8.348
375541.468,53929.539,8.343
376044.505,29282.072,52.375
376381.206,97851.535,42.886
377220.945,77094.778,33.665
