x_m,y_m,total_field_anomaly_nT
9057.53,58086.01,8.00
8957.23,61841.06,27.00
9603.54,44852.70,-37.00
10716.75,27256.10,-45.00
10581.13,30186.09,-46.00
10344.51,35051.98,-43.00
10215.95,38641.35,-46.00
10265.39,41173.26,-40.00
10396.07,45843.44,-31.00
10097.99,49818.66,-32.00
9503.95,56680.50,5.00
9313.94,63308.83,31.00
11123.61,27043.72,-42.00
11042.38,28842.85,-44.00
10735.82,34836.26,-44.00
10593.85,39894.52,-44.00
10448.34,42672.17,-37.00
10169.33,48949.12,-26.00
10003.34,55596.35,-5.00
9683.36,64925.61,40.00
11490.91,27174.93,-44.00
11315.74,30685.35,-45.00
11064.28,37300.34,-37.00
10972.45,39238.47,-43.00
10782.44,43900.87,-23.00
10641.88,49168.17,-22.00
10552.88,51654.49,-23.00
10196.17,58404.02,0.00
9999.10,65388.18,40.00
11746.61,28835.07,-41.00
11670.33,31822.88,-40.00
11492.33,37158.01,-39.00
11308.67,42583.21,-36.00
11091.12,48306.41,-30.00
10934.31,51912.46,-22.00
10545.11,62588.29,22.00
11168.82,44828.23,-39.00
12104.73,30873.27,-39.00
11839.85,37513.83,-47.00
11555.90,44028.74,-28.00
11481.73,47584.76,-27.00
11305.14,51998.08,-22.00
11050.15,56865.09,-4.00
10891.22,60873.66,2.00
10795.86,65526.06,49.00
12590.70,28783.92,-38.00
12453.67,32490.05,-43.00
12142.87,38626.89,-46.00
12023.50,43669.58,-28.00
11872.34,46838.64,-28.00
11626.53,52924.34,-12.00
11483.14,57236.48,3.00
11307.26,61050.46,2.00
11246.52,64724.34,31.00
12969.30,27636.39,-43.00
12863.35,32366.62,-46.00
12815.32,36306.26,-37.00
12403.52,43091.37,-31.00
12187.37,49141.49,-26.00
12005.84,53673.79,-13.00
11841.97,57925.89,-1.00
11688.69,62965.24,21.00
11577.79,65270.31,41.00
13403.71,27598.58,-37.00
13196.04,32662.40,-46.00
13009.57,38076.48,-49.00
12657.80,47464.67,-26.00
12609.77,52025.88,-23.00
12231.17,56682.73,-6.00
12099.79,60527.85,-3.00
12046.10,63247.67,17.00
12578.69,53483.65,-13.00
13726.51,30832.13,-34.00
13559.11,37081.28,-37.00
13172.73,44199.98,-32.00
12962.95,50598.14,-19.00
12727.03,56790.58,-2.00
12634.49,61048.24,2.00
12335.00,65519.39,48.00
12341.36,64996.77,41.00
14255.57,27447.36,-46.00
14054.97,33078.27,-42.00
13922.17,35990.46,-36.00
13842.35,39674.35,-45.00
13713.80,44009.84,-31.00
13582.42,47099.95,-20.00
13402.30,49359.43,-22.00
13342.26,53434.72,-9.00
13018.75,60641.27,3.00
12931.87,63184.29,22.00
12775.76,65896.34,60.00
13707.44,45015.04,-34.00
14615.10,26972.55,-42.00
14436.40,30737.61,-45.00
14346.69,34759.53,-34.00
14266.87,37240.29,-37.00
14144.67,40636.19,-44.00
14028.83,45522.09,-29.00
13875.55,48058.45,-21.00
13727.93,52144.86,-18.00
13371.22,58177.19,4.00
13371.22,62218.01,12.00
13189.69,65250.29,51.00
13617.03,54750.16,-5.00
14984.52,27705.33,-45.00
14843.25,31320.27,-45.00
14757.08,35165.40,-29.00
14665.96,37588.33,-47.00
14394.01,43646.23,-28.00
14309.96,47205.58,-21.00
14187.76,49167.06,-21.00
13975.15,54682.33,-1.00
13863.54,59053.40,6.00
13670.71,63293.26,22.00
13513.90,65526.06,61.00
13980.80,54675.66,-1.00
15332.75,29379.92,-45.00
15115.20,34102.37,-37.00
15106.02,36707.67,-38.00
14945.67,40663.98,-41.00
14809.35,43954.24,-29.00
14139.02,47119.96,-20.00
14697.74,49280.48,-21.00
14430.04,54601.16,-5.00
14168.69,60516.73,8.00
15119.44,34501.56,-36.00
15769.99,28276.87,-40.00
15534.77,35017.51,-27.00
15524.18,37628.36,-37.00
15308.03,40641.75,-41.00
15227.51,44044.31,-39.00
15216.21,47510.26,-35.00
14959.09,50813.86,-23.00
14639.82,56150.10,-12.00
14604.51,59346.96,-1.00
14256.28,65231.39,52.00
14227.32,65584.99,61.00
15894.30,37692.86,-38.00
15736.79,41007.58,-36.00
15474.73,46448.34,-32.00
15373.02,52274.96,-14.00
15046.68,56966.27,-11.00
14908.24,63035.29,14.00
15618.83,45067.30,-32.00
16242.53,35585.71,-23.00
16190.97,38700.28,-42.00
15775.64,47016.55,-25.00
15794.71,52264.95,-14.00
15467.67,55759.81,-6.00
15330.64,62369.23,10.00
15158.99,66218.80,70.00
16815.38,34253.60,-32.00
16624.67,40022.39,-35.00
16171.90,50038.83,-22.00
15973.41,54617.84,-14.00
15765.75,62592.74,16.00
15447.18,65291.44,63.00
16440.31,44570.26,-34.00
17058.37,38053.13,-34.00
16798.43,43688.49,-31.00
16627.49,49408.35,-22.00
16394.40,52846.50,-14.00
16308.93,57134.18,-4.00
16063.83,64392.98,12.00
15961.41,66554.61,72.00
16812.56,44780.42,-29.00
17614.97,37422.65,-28.00
17160.08,44610.29,-33.00
16809.73,53835.02,-14.00
16618.31,58865.48,-7.00
16517.30,61752.10,13.00
16291.98,66353.35,82.00
17136.77,44938.32,-29.00
17780.26,38852.62,-38.00
17451.81,48245.25,-20.00
17183.39,54608.94,-7.00
17008.22,59972.98,3.00
16911.45,64223.97,-8.00
16884.61,65244.74,73.00
16781.48,66829.26,72.00
16527.19,70634.35,58.00
16905.80,64781.05,2.00
16873.31,65487.14,103.00
18058.56,40501.64,-38.00
17721.63,51288.66,-23.00
17443.33,59229.09,-7.00
17285.11,63136.48,44.00
17213.77,65052.37,12.00
17205.29,65453.78,112.00
17148.08,67744.40,85.00
16890.96,71078.02,28.00
16931.23,72121.03,83.00
17220.12,64706.55,-16.00
18395.49,43251.49,-35.00
18205.48,48833.48,-17.00
18006.29,53792.77,-14.00
17828.29,58183.86,-10.00
17788.03,59789.51,-7.00
17722.34,61642.02,13.00
17653.12,63163.17,53.00
17595.90,65035.69,2.00
17587.43,65374.83,102.00
17554.93,66879.30,83.00
17410.84,69034.26,58.00
17344.44,71323.76,55.00
17331.02,72046.53,89.00
17328.19,72543.57,108.00
17327.49,73701.11,148.00
17286.52,74312.68,87.00
17572.59,65334.80,92.00
18961.28,38830.38,-38.00
18853.21,41715.89,-32.00
18716.17,45947.97,-29.00
18581.97,49258.24,-12.00
18447.05,53116.70,-14.00
18302.96,58183.86,-7.00
18198.42,60632.37,-22.00
18112.24,61733.20,33.00
18081.16,62785.10,33.00
18024.66,64286.23,12.00
17978.04,65899.67,32.00
17929.30,67676.57,92.00
17918.00,70056.14,55.00
17809.22,71939.78,69.00
17732.23,73454.26,138.00
17737.17,74164.79,97.00
17996.40,65302.56,22.00
19358.25,40063.53,-35.00
19063.70,46091.41,-29.00
19103.25,48636.66,-21.00
18891.35,51859.09,-13.00
18652.60,57920.33,-5.00
18678.03,60045.26,14.00
18642.71,61461.88,-58.00
18588.32,62324.76,93.00
18528.99,63313.28,72.00
18367.94,65728.43,-16.00
18354.52,66232.15,62.00
18331.92,67449.73,82.00
18277.53,68446.04,62.00
18179.35,71688.48,69.00
18088.93,73730.02,88.00
18046.55,74228.17,117.00
19705.77,40501.64,-39.00
19358.25,46938.71,-30.00
19396.39,50218.96,-23.00
19092.66,57930.33,-13.00
18978.23,59990.77,4.00
18926.67,61316.22,-17.00
18869.45,62403.70,102.00
18846.14,63562.36,36.00
18862.39,64739.91,72.00
18863.09,65745.11,-8.00
18826.36,66321.10,-28.00
18800.23,66922.67,92.00
18745.13,68098.00,62.00
18537.47,71002.41,64.00
18602.45,73040.61,79.00
18864.51,64925.61,72.00
20113.34,40027.95,-32.00
19927.57,45876.80,-29.00
19690.23,51956.94,-11.00
19447.95,57692.38,-8.00
19400.63,59996.33,24.00
19331.41,61849.95,23.00
19284.08,63118.69,3.00
19251.59,63793.64,52.00
19226.87,64494.17,72.00
19152.70,66038.67,-8.00
19135.04,66585.75,72.00
19095.48,67880.05,52.00
18978.23,71599.53,70.00
18889.94,73940.18,64.00
19209.91,64917.82,52.00
20613.43,38978.27,-27.00
20181.15,48598.85,-21.00
20039.88,52311.65,-13.00
19830.80,57902.53,1.00
19740.38,60640.15,4.00
19635.14,62629.43,33.00
19601.94,64011.58,53.00
19600.52,65919.69,32.00
19524.24,66851.50,61.00
19530.60,68668.43,56.00
19465.61,71338.22,64.00
19320.81,73191.84,76.00
19279.84,74404.97,7.00
19244.52,74932.04,57.00
19588.52,64108.32,43.00
21122.71,38156.54,-18.00
20838.05,41638.05,-33.00
20723.62,45515.42,-27.00
20565.40,48805.68,-5.00
20429.78,51860.20,-12.00
20451.68,53375.79,-13.00
20209.40,59044.51,14.00
20072.37,62415.94,63.00
20018.68,63792.53,24.00
19959.35,64728.79,63.00
20005.97,66470.10,41.00
19906.37,68532.77,42.00
19809.60,70867.86,82.00
19654.21,73311.93,78.00
19669.04,74408.31,8.00
19676.10,74813.06,67.00
19632.31,75506.91,66.00
19955.82,65307.00,46.00
21266.81,42150.66,-25.00
